Timestamp,Race/Ethnicity:,Class year: ,Do you identify as a low-income student? ,Are you a first-generation college student? ,Do you identify as LGBTQIA+?,Gender identity:,Will you be in Pacific Standard Time (PST) during the Spring 2021 semester?,How concerned are you about your academic success  this semester?,Additional comments about your academic success?,"Overall, how did you feel about the pace of your classes last semester? ","Overall, how did you feel about workload in your classes last semester?",What do you anticipate will be an academic challenge for you this semester? Select all that apply.,Additional comments about challenges you will face this semester? ,How helpful were the following supports to you last semester?  [Accessible office hours],How helpful were the following supports to you last semester?  [Addressing current events],How helpful were the following supports to you last semester?  [Flexibility with deadlines],How helpful were the following supports to you last semester?  [Flexibility and choice with exams/assessments],How helpful were the following supports to you last semester?  [Lower workload],How helpful were the following supports to you last semester?  [Opportunities to provide feedback to professors],How helpful were the following supports to you last semester?  [Peer-led study sessions],How helpful were the following supports to you last semester?  [Regular check-ins with professors dedicated to mental health/well-being],How helpful were the following supports to you last semester?  [Regular feedback from professors],How helpful were the following supports to you last semester?  [Resources provided on syllabi],How helpful were the following supports to you last semester?  [Transparency from professors],Additional comments about what worked and what didn't last semester? ,Which of the following would be most helpful to you this semester? (Select all that apply),"Any other comments, concerns, or questions that you would like DEB to share with faculty? (anonymously) "
1/10/2021 16:28:48,White,2022,No,No,Yes,Female/woman,Yes,4,,5,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Communicating my difficulties with professors, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Fast pace, Health and safety concerns, Heavy workload, Lack of feedback from professors, Poor mental health, Professors who are not flexible or accommodating, Social isolation, Technological difficulties",,Helpful,Helpful,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not helpful,Not helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors",
1/10/2021 16:29:11,White,2024,No,No,No,Female/woman,Yes,2,,3,Too light—I completed all work early,"Distress and uncertainty from current political events, Lack of feedback from professors, Professors who are not flexible or accommodating",,Helpful,Helpful,Not applicable,Helpful,Not applicable,Helpful,Not applicable,Not applicable,Very helpful,Helpful,"Very helpful, Helpful",,"Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Anonymous opportunities to provide feedback to my professors, Transparency from professors",
1/10/2021 16:40:43,White,2023,No,No,Yes,Female/woman,Yes,4,I’m concerned because it seems like the professors are super burnt out,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Classes running overtime, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distress and uncertainty from current political events, Health and safety concerns, Heavy workload, Lack of feedback from professors, Lack of support with assignments from faculty or peers, Professors who are not flexible or accommodating, Social isolation",I think we need to return crediting to after grades come out. we should be able to credit eveyrhting we could last semester (please don’t take this away) but credit it later because many of my professors were unable to give feedback concerning my current grade standing when asks before the deadline,Not helpful,Helpful,"Very helpful, Helpful",Very helpful,Very helpful,Very helpful,"Not helpful, Not applicable",Very helpful,Very helpful,Very helpful,Very helpful,"crediting all classes , having teachers that have time for randomized socializing, love workloads, having choice in essay topics and final exams and also cancelling exams entirely ","Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Transparency from professors",
1/10/2021 16:41:09,"Black or African American, White",2023,Yes,No,No,Female/woman,No,5,,4,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Classes running overtime, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Heavy workload, Microaggressions/Inequitable or insensitive classroom environment, Poor mental health, Professors who are not flexible or accommodating, Social isolation, Stress from financial concerns, Technological difficulties",,Very helpful,Very helpful,Very helpful,Helpful,Very helpful,Helpful,Not helpful,Not helpful,Not helpful,Helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Peer-led study sessions, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 16:45:59,"Asian, White",2023,No,No,No,Female/woman,Yes,2,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Classes running overtime, Communicating my difficulties with professors, Distracting work environment, Lack of support with assignments from faculty or peers, Professors who are not flexible or accommodating, Social isolation, Feeling comfortable enough to meet with the professor outside of class time",I also think it was a struggle to meet or contact any classmates for whatever reason,Not helpful,Not applicable,Helpful,Helpful,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Anonymous opportunities to provide feedback to my professors, Community dinners or celebrations, Peer-led study sessions, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Transparency from professors",
1/10/2021 16:47:40,White,2022,Yes,Yes,No,Female/woman,No,4,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Attending synchronous sessions, Busy work schedule, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distress and uncertainty from current political events, Extra home/family responsibilities, Fast pace, Lack of support with assignments from faculty or peers, Poor mental health, Professors who are not flexible or accommodating, Stress from financial concerns, Unhealthy or unstable living environment",,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,"Very helpful, Helpful",Helpful,Very helpful,Very helpful,Very helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Regular meetings with professors dedicated to checking in about my progress, mental health, etc.",
1/10/2021 16:47:40,White,2021,No,No,No,Female/woman,Yes,2,,3,Somewhat heavy—I sometimes struggled to complete work on time,Social isolation,,Helpful,Very helpful,Very helpful,Helpful,Very helpful,Very helpful,Not applicable,Very helpful,Helpful,Very helpful,Helpful,,"Advocating for flexibility with deadlines, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Transparency from professors",
1/10/2021 16:49:25,"Asian, White",2024,Yes,No,Yes,Trans male/trans man,Yes,4,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Health and safety concerns, Heavy workload, Poor mental health, Social isolation",,Helpful,"Very helpful, Helpful",Very helpful,"Very helpful, Not applicable",Very helpful,Very helpful,Helpful,Helpful,Very helpful,Very helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Anonymous opportunities to provide feedback to my professors, Peer-led study sessions, Transparency from professors",
1/10/2021 16:50:23,Asian,2022,Yes,Yes,No,Female/woman,No,3,,4,Manageable—I completed almost all work on time,"Attending synchronous sessions, Difficulty accessing or affording course materials, Heavy workload, Lack of support with assignments from faculty or peers, Professors who are not flexible or accommodating",,Helpful,Helpful,Helpful,Helpful,Not helpful,Helpful,"Not helpful, Not applicable",Not applicable,Helpful,Helpful,Helpful,,"Advocating for lower workload in classes, Advocating for slower pace in classes",
1/10/2021 16:51:47,White,2023,No,No,No,Female/woman,No,3,,3,Manageable—I completed almost all work on time,"Attending synchronous sessions, Busy work schedule, Poor mental health, Social isolation",,Very helpful,Very helpful,Very helpful,Not applicable,Helpful,Very helpful,Not applicable,Not applicable,Helpful,"Helpful, Not helpful",Helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Community dinners or celebrations, Peer-led study sessions, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions",
