any_STEM,know_major,major,1_fit major_1,1_welcome major_1,1_comfort major_1,1_thrilled major_1,1_like peers_1,1_comfort peers_1,1_like profs_1,1_comfort profs_1,1_close relationships,2_fit major_1,2_welcome major_1,2_comfort major_1,2_thrilled major_1,2_like peers_1,2_comfort peers_1,2_like profs_1,2_comfort profs_1,2_close relationships,3_fit major_1,3_welcome major_1,3_comfort major_1,3_thrilled major_1,3_like peers_1,3_comfort peers_1,3_like profs_1,3_comfort profs_1,3_close relationships,4_fit major_1,4_welcome major_1,4_comfort major_1,4_thrilled major_1,4_like peers_1,4_comfort peers_1,4_like profs_1,4_comfort profs_1,4_close relationships,5_fit major_1,5_welcome major_1,5_comfort major_1,5_thrilled major_1,5_like peers_1,5_comfort peers_1,5_like profs_1,5_comfort profs_1,5_close relationships,6_fit major_1,6_welcome major_1,6_comfort major_1,6_thrilled major_1,6_like peers_1,6_comfort peers_1,6_like profs_1,6_comfort profs_1,6_close relationships,7_fit major_1,7_welcome major_1,7_comfort major_1,7_thrilled major_1,7_like peers_1,7_comfort peers_1,7_like profs_1,7_comfort profs_1,7_close relationships,8_fit major_1,8_welcome major_1,8_comfort major_1,8_thrilled major_1,8_like peers_1,8_comfort peers_1,8_like profs_1,8_comfort profs_1,8_close relationships,9_fit major_1,9_welcome major_1,9_comfort major_1,9_thrilled major_1,9_like peers_1,9_comfort peers_1,9_like profs_1,9_comfort profs_1,9_close relationships,10_fit major_1,10_welcome major_1,10_comfort major_1,10_thrilled major_1,10_like peers_1,10_comfort peers_1,10_like profs_1,10_comfort profs_1,10_close relationships,11_fit major_1,11_welcome major_1,11_comfort major_1,11_thrilled major_1,11_like peers_1,11_comfort peers_1,11_like profs_1,11_comfort profs_1,11_close relationships,12_fit major_1,12_welcome major_1,12_comfort major_1,12_thrilled major_1,12_like peers_1,12_comfort peers_1,12_like profs_1,12_comfort profs_1,12_close relationships,13_fit major_1,13_welcome major_1,13_comfort major_1,13_thrilled major_1,13_like peers_1,13_comfort peers_1,13_like profs_1,13_comfort profs_1,13_close relationships,14_fit major_1,14_welcome major_1,14_comfort major_1,14_thrilled major_1,14_like peers_1,14_comfort peers_1,14_like profs_1,14_comfort profs_1,14_close relationships,15_fit major_1,15_welcome major_1,15_comfort major_1,15_thrilled major_1,15_like peers_1,15_comfort peers_1,15_like profs_1,15_comfort profs_1,15_close relationships,16_fit major_1,16_welcome major_1,16_comfort major_1,16_thrilled major_1,16_like peers_1,16_comfort peers_1,16_like profs_1,16_comfort profs_1,16_close relationships,17_fit major_1,17_welcome major_1,17_comfort major_1,17_thrilled major_1,17_like peers_1,17_comfort peers_1,17_like profs_1,17_comfort profs_1,17_close relationships,18_fit major_1,18_welcome major_1,18_comfort major_1,18_thrilled major_1,18_like peers_1,18_comfort peers_1,18_like profs_1,18_comfort profs_1,18_close relationships,19_fit major_1,19_welcome major_1,19_comfort major_1,19_thrilled major_1,19_like peers_1,19_comfort peers_1,19_like profs_1,19_comfort profs_1,19_close relationships,20_fit major_1,20_welcome major_1,20_comfort major_1,20_thrilled major_1,20_like peers_1,20_comfort peers_1,20_like profs_1,20_comfort profs_1,20_close relationships,21_fit major_1,21_welcome major_1,21_comfort major_1,21_thrilled major_1,21_like peers_1,21_comfort peers_1,21_like profs_1,21_comfort profs_1,21_close relationships,22_fit major_1,22_welcome major_1,22_comfort major_1,22_thrilled major_1,22_like peers_1,22_comfort peers_1,22_like profs_1,22_comfort profs_1,22_close relationships,23_fit major_1,23_welcome major_1,23_comfort major_1,23_thrilled major_1,23_like peers_1,23_comfort peers_1,23_like profs_1,23_comfort profs_1,23_close relationships,24_fit major_1,24_welcome major_1,24_comfort major_1,24_thrilled major_1,24_like peers_1,24_comfort peers_1,24_like profs_1,24_comfort profs_1,24_close relationships,25_fit major_1,25_welcome major_1,25_comfort major_1,25_thrilled major_1,25_like peers_1,25_comfort peers_1,25_like profs_1,25_comfort profs_1,25_close relationships,26_fit major_1,26_welcome major_1,26_comfort major_1,26_thrilled major_1,26_like peers_1,26_comfort peers_1,26_like profs_1,26_comfort profs_1,26_close relationships,27_fit major_1,27_welcome major_1,27_comfort major_1,27_thrilled major_1,27_like peers_1,27_comfort peers_1,27_like profs_1,27_comfort profs_1,27_close relationships,28_fit major_1,28_welcome major_1,28_comfort major_1,28_thrilled major_1,28_like peers_1,28_comfort peers_1,28_like profs_1,28_comfort profs_1,28_close relationships,29_fit major_1,29_welcome major_1,29_comfort major_1,29_thrilled major_1,29_like peers_1,29_comfort peers_1,29_like profs_1,29_comfort profs_1,29_close relationships,30_fit major_1,30_welcome major_1,30_comfort major_1,30_thrilled major_1,30_like peers_1,30_comfort peers_1,30_like profs_1,30_comfort profs_1,30_close relationships,31_fit major_1,31_welcome major_1,31_comfort major_1,31_thrilled major_1,31_like peers_1,31_comfort peers_1,31_like profs_1,31_comfort profs_1,31_close relationships,32_fit major_1,32_welcome major_1,32_comfort major_1,32_thrilled major_1,32_like peers_1,32_comfort peers_1,32_like profs_1,32_comfort profs_1,32_close relationships,33_fit major_1,33_welcome major_1,33_comfort major_1,33_thrilled major_1,33_like peers_1,33_comfort peers_1,33_like profs_1,33_comfort profs_1,33_close relationships,34_fit major_1,34_welcome major_1,34_comfort major_1,34_thrilled major_1,34_like peers_1,34_comfort peers_1,34_like profs_1,34_comfort profs_1,34_close relationships,38_fit major_1,38_welcome major_1,38_comfort major_1,38_thrilled major_1,38_like peers_1,38_comfort peers_1,38_like profs_1,38_comfort profs_1,38_close relationships,fit_classes_1,welcome_classes_1,comfort_classes_1,thrilled_STEM_1,like_peers_classes_1,comfort_peers_classe_1,like_profs_STEM_1,comfort_profs_STEM_1,close_profs_STEM,ever_STEM,STEM CSP,CSP 96,classroom research,research experiences,group projects,study groups,AMP,AMP_10_TEXT,SSAP,SSAP_8_TEXT,peer advisor TA grad,interested peer,office hours,clubs,clubs_1_TEXT
Yes,Yes,Cognitive Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,8,9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,8,7,10,10,7,5,Yes,NA,No,No,No,"Academic year research (e.g., directed or mentored research)",Yes,Yes,NA,NA,NA,NA,Yes,NA,A few times a semester,No,NA
Yes,Yes,"Cognitive Science,Philosophy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,10,10,10,7,10,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,10,10,10,9,10,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,10,9,9,10,10,No,NA,No,No,Yes,NA,Yes,Yes,NA,NA,NA,NA,No,Yes,Once or twice in a semester,No,NA
Yes,Yes,Cognitive Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,7,10,9,6,10,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,10,9,10,10,7,No,NA,No,No,Yes,"Academic year research (e.g., directed or mentored research)",Yes,Yes,NA,NA,NA,NA,No,No,Never,No,NA
Yes,Yes,Cognitive Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,9,9,10,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,8,8,8,8,9,9,No,NA,Yes,No,Yes,"Academic year research (e.g., directed or mentored research),Summer research experience outside of Oxy,STEM-related internship",Yes,Yes,NA,NA,NA,NA,No,Yes,A few times a semester,Yes,"Asian American Tutoring Projects, Boundless Brilliance"
Yes,Yes,"Cognitive Science,Group Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,7,9,9,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,8,8,8,8,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,7,7,7,8,7,No,NA,No,No,Yes,"Summer research experience outside of Oxy,STEM-related internship",Yes,Yes,NA,NA,NA,NA,No,No,Less than once a semester,Yes,neuroleague
Yes,Yes,Biology,10,10,10,10,9,10,9,9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,9,8,9,9,8,9,Yes,NA,No,No,No,"Academic year research (e.g., directed or mentored research)",Yes,Yes,NA,NA,NA,NA,No,Yes,Less than once a semester,Yes,"Students for Equity & Advocacy in STEM, Boundless Brilliance"
Yes,Yes,Biology,9,9,9,10,10,10,10,9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,10,10,8,9,No,NA,No,No,No,"Academic year research (e.g., directed or mentored research),Summer research experience outside of Oxy,STEM-related internship",Yes,Yes,NA,NA,NA,NA,Yes,NA,A few times a semester,Yes,"Biology Club, PHSA"
Yes,Yes,Biochemistry,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,8,7,5,6,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,5,7,8,4,6,No,NA,Yes,No,No,NA,No,Yes,NA,NA,NA,NA,Yes,NA,Once or twice in a semester,Yes,PHE
Yes,Yes,Biochemistry,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,8,10,9,7,8,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,7,8,7,7,8,Yes,NA,Yes,No,No,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,Never,Yes,Boundless Brilliance
Yes,Yes,"Biology,Kinesiology,Psychology",5,5,6,7,5,5,8,8,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,6,7,7,9,9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,9,9,9,9,8,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,8,7,6,7,7,Yes,NA,Yes,Yes,Yes,"Academic year research (e.g., directed or mentored research),STEM-related internship",Yes,Yes,NA,NA,NA,NA,No,Yes,A few times a semester,Yes,"Boundless Brilliance, SEAS"
